2082,Säter,11271
2083,Hedemora,15443
2084,Avesta,22932
2085,Ludvika,26353
2101,Ockelbo,5821
2104,Hofors,9472
2121,Ovanåker,11622
2132,Nordanstig,9487
2161,Ljusdal,18771
2180,Gävle,103493
2181,Sandviken,39098
2182,Söderhamn,25258
2183,Bollnäs,26624
2184,Hudiksvall,37688
2260,Ånge,9143
2262,Timrå,17754
2280,Härnösand,24879
2281,Sundsvall,99361
2282,Kramfors,17904
2283,Sollefteå,18667
2284,Örnsköldsvik,55557
2303,Ragunda,5174
2305,Bräcke,6162
2309,Krokom,15532
2313,Strömsund,11397
2321,Åre,12330
2326,Berg,7176
2361,Härjedalen,10185
2380,Östersund,64714
2401,Nordmaling,7066
2403,Bjurholm,2372
2404,Vindeln,5504
2409,Robertsfors,6759
2417,Norsjö,3947
2418,Malå,3033
2421,Storuman,5747
2422,Sorsele,2436
2425,Dorotea,2413
2460,Vännäs,8963
2462,Vilhelmina,6393
2463,Åsele,2782
2480,Umeå,132235
2481,Lycksele,12243
2482,Skellefteå,74402
2505,Arvidsjaur,6111
2506,Arjeplog,2667
2510,Jokkmokk,4760
2513,Överkalix,3160
2514,Kalix,15729
2518,Övertorneå,4119
2521,Pajala,5883
2523,Gällivare,17420
2560,Älvsbyn,7911
2580,Luleå,79244
2581,Piteå,42362
2582,Boden,28048
2583,Haparanda,9340
2584,Kiruna,22423
