id,name,age_group,pop_2022
0127,Botkyrka,25-29 years,6336
0127,Botkyrka,30-34 years,6947
0127,Botkyrka,35-39 years,6901
0127,Botkyrka,40-44 years,7045
0127,Botkyrka,45-49 years,6799
0127,Botkyrka,50-54 years,6362
0127,Botkyrka,55-59 years,5973
0127,Botkyrka,60-64 years,4678
0127,Botkyrka,65-69 years,3866
0127,Botkyrka,70-74 years,3357
0127,Botkyrka,75-79 years,3240
0127,Botkyrka,80-84 years,1876
0127,Botkyrka,85-89 years,942
0127,Botkyrka,90-94 years,386
0127,Botkyrka,95-99 years,84
0127,Botkyrka,100+ years,11
0128,Salem,0-4 years,1062
0128,Salem,5-9 years,1229
0128,Salem,10-14 years,1341
0128,Salem,15-19 years,1353
0128,Salem,20-24 years,859
0128,Salem,25-29 years,787
0128,Salem,30-34 years,1091
0128,Salem,35-39 years,1148
0128,Salem,40-44 years,1127
0128,Salem,45-49 years,1246
0128,Salem,50-54 years,1235
0128,Salem,55-59 years,1148
0128,Salem,60-64 years,721
0128,Salem,65-69 years,600
0128,Salem,70-74 years,680
0128,Salem,75-79 years,760
0128,Salem,80-84 years,584
0128,Salem,85-89 years,256
0128,Salem,90-94 years,97
0128,Salem,95-99 years,24
0128,Salem,100+ years,4
0136,Haninge,0-4 years,6441
0136,Haninge,5-9 years,6619
0136,Haninge,10-14 years,6312
0136,Haninge,15-19 years,5830
0136,Haninge,20-24 years,5606
0136,Haninge,25-29 years,6721
0136,Haninge,30-34 years,8203
0136,Haninge,35-39 years,7348
0136,Haninge,40-44 years,6972
0136,Haninge,45-49 years,6692
0136,Haninge,50-54 years,6227
0136,Haninge,55-59 years,5851
0136,Haninge,60-64 years,4422
0136,Haninge,65-69 years,3644
0136,Haninge,70-74 years,3576
0136,Haninge,75-79 years,3533
0136,Haninge,80-84 years,2194
0136,Haninge,85-89 years,1014
0136,Haninge,90-94 years,394
0136,Haninge,95-99 years,73
0136,Haninge,100+ years,11
0138,Tyresö,0-4 years,2662
0138,Tyresö,5-9 years,3287
0138,Tyresö,10-14 years,3566
0138,Tyresö,15-19 years,3565
0138,Tyresö,20-24 years,2361
0138,Tyresö,25-29 years,2341
0138,Tyresö,30-34 years,3039
0138,Tyresö,35-39 years,3160
0138,Tyresö,40-44 years,3291
0138,Tyresö,45-49 years,3678
0138,Tyresö,50-54 years,3748
0138,Tyresö,55-59 years,3578
0138,Tyresö,60-64 years,2585
0138,Tyresö,65-69 years,1879
0138,Tyresö,70-74 years,1816
0138,Tyresö,75-79 years,2097
0138,Tyresö,80-84 years,1404
0138,Tyresö,85-89 years,743
0138,Tyresö,90-94 years,329
0138,Tyresö,95-99 years,80
0138,Tyresö,100+ years,5
0139,Upplands-Bro,0-4 years,2111
0139,Upplands-Bro,5-9 years,2350
0139,Upplands-Bro,10-14 years,2202
0139,Upplands-Bro,15-19 years,1929
0139,Upplands-Bro,20-24 years,1864
0139,Upplands-Bro,25-29 years,2004
0139,Upplands-Bro,30-34 years,2597
0139,Upplands-Bro,35-39 years,2383
0139,Upplands-Bro,40-44 years,2296
0139,Upplands-Bro,45-49 years,2090
0139,Upplands-Bro,50-54 years,1977
0139,Upplands-Bro,55-59 years,1820
0139,Upplands-Bro,60-64 years,1490
0139,Upplands-Bro,65-69 years,1211
0139,Upplands-Bro,70-74 years,1182
0139,Upplands-Bro,75-79 years,1233
0139,Upplands-Bro,80-84 years,623
0139,Upplands-Bro,85-89 years,324
0139,Upplands-Bro,90-94 years,138
0139,Upplands-Bro,95-99 years,26
0139,Upplands-Bro,100+ years,3
0140,Nykvarn,0-4 years,699
0140,Nykvarn,5-9 years,845
0140,Nykvarn,10-14 years,863
0140,Nykvarn,15-19 years,846
0140,Nykvarn,20-24 years,533
0140,Nykvarn,25-29 years,502
0140,Nykvarn,30-34 years,754
0140,Nykvarn,35-39 years,789
0140,Nykvarn,40-44 years,784
0140,Nykvarn,45-49 years,866
0140,Nykvarn,50-54 years,848
0140,Nykvarn,55-59 years,824
0140,Nykvarn,60-64 years,551
0140,Nykvarn,65-69 years,480
0140,Nykvarn,70-74 years,457
0140,Nykvarn,75-79 years,516
0140,Nykvarn,80-84 years,330
0140,Nykvarn,85-89 years,127
0140,Nykvarn,90-94 years,42
0140,Nykvarn,95-99 years,7
0140,Nykvarn,100+ years,1
0160,Täby,0-4 years,3882
0160,Täby,5-9 years,4913
0160,Täby,10-14 years,5512
0160,Täby,15-19 years,5290
0160,Täby,20-24 years,3744
0160,Täby,25-29 years,3801
0160,Täby,30-34 years,4158
0160,Täby,35-39 years,4574
0160,Täby,40-44 years,5156
0160,Täby,45-49 years,5535
0160,Täby,50-54 years,5494
0160,Täby,55-59 years,5166
0160,Täby,60-64 years,3750
0160,Täby,65-69 years,3030
0160,Täby,70-74 years,3076
0160,Täby,75-79 years,3651
0160,Täby,80-84 years,2397
0160,Täby,85-89 years,1279
0160,Täby,90-94 years,555
0160,Täby,95-99 years,157
0160,Täby,100+ years,17
0162,Danderyd,0-4 years,1483
0162,Danderyd,5-9 years,2118
0162,Danderyd,10-14 years,2563
0162,Danderyd,15-19 years,2825
0162,Danderyd,20-24 years,1699
0162,Danderyd,25-29 years,1390
0162,Danderyd,30-34 years,1512
0162,Danderyd,35-39 years,1555
0162,Danderyd,40-44 years,2029
0162,Danderyd,45-49 years,2377
0162,Danderyd,50-54 years,2523
0162,Danderyd,55-59 years,2292
0162,Danderyd,60-64 years,1688
0162,Danderyd,65-69 years,1393
0162,Danderyd,70-74 years,1325
0162,Danderyd,75-79 years,1674
0162,Danderyd,80-84 years,1102
0162,Danderyd,85-89 years,667
0162,Danderyd,90-94 years,352
0162,Danderyd,95-99 years,108
0162,Danderyd,100+ years,17
0163,Sollentuna,0-4 years,4299
0163,Sollentuna,5-9 years,5030
0163,Sollentuna,10-14 years,5495
0163,Sollentuna,15-19 years,5501
0163,Sollentuna,20-24 years,3849
0163,Sollentuna,25-29 years,4084
0163,Sollentuna,30-34 years,5031
0163,Sollentuna,35-39 years,5455
0163,Sollentuna,40-44 years,5444
0163,Sollentuna,45-49 years,5552
0163,Sollentuna,50-54 years,5568
0163,Sollentuna,55-59 years,5053
0163,Sollentuna,60-64 years,3842
0163,Sollentuna,65-69 years,3049
0163,Sollentuna,70-74 years,2702
0163,Sollentuna,75-79 years,2866
0163,Sollentuna,80-84 years,1870
0163,Sollentuna,85-89 years,965
0163,Sollentuna,90-94 years,425
0163,Sollentuna,95-99 years,139
0163,Sollentuna,100+ years,18
0180,Stockholm,0-4 years,55303
0180,Stockholm,5-9 years,53033
0180,Stockholm,10-14 years,52955
0180,Stockholm,15-19 years,48884
0180,Stockholm,20-24 years,51808
0180,Stockholm,25-29 years,82630
0180,Stockholm,30-34 years,97096
0180,Stockholm,35-39 years,80430
0180,Stockholm,40-44 years,70233
0180,Stockholm,45-49 years,64814
0180,Stockholm,50-54 years,60479
0180,Stockholm,55-59 years,60817
0180,Stockholm,60-64 years,51062
0180,Stockholm,65-69 years,44730
0180,Stockholm,70-74 years,38477
0180,Stockholm,75-79 years,34105
0180,Stockholm,80-84 years,19568
0180,Stockholm,85-89 years,10657
0180,Stockholm,90-94 years,5472
