country_name,region_code,region_name,year,k_passengers
Hungary,HU11,Budapest,2008,8429
Hungary,HU32,Észak-Alföld,2008,-
Ireland,IE04,Northern and Western,2008,897
Ireland,IE05,Southern,2008,6498
Ireland,IE06,Eastern and Midland,2008,23379
,IS00,,2008,2241
Italy,ITC1,Piemonte,2008,3397
Italy,ITC3,Liguria,2008,1191
Italy,ITC4,Lombardia,2008,34940
Italy,ITF1,Abruzzo,2008,396
Italy,ITF3,Campania,2008,5629
Italy,ITF4,Puglia,2008,3493
Italy,ITF6,Calabria,2008,1984
Italy,ITG1,Sicilia,2008,11064
Italy,ITG2,Sardegna,2008,5995
Italy,ITH1,Provincia Autonoma di Bolzano/Bozen (1),2008,64
Italy,ITH3,Veneto,2008,11853
Italy,ITH4,Friuli-Venezia Giulia,2008,779
Italy,ITH5,Emilia-Romagna,2008,5828
Italy,ITI1,Toscana,2008,5866
Italy,ITI2,Umbria,2008,-
Italy,ITI3,Marche,2008,403
Italy,ITI4,Lazio,2008,39558
Lithuania,LT01,Sostinės regionas,2008,2042
Lithuania,LT02,Vidurio ir vakarų Lietuvos regionas,2008,510
Luxembourg,LU00,Luxembourg,2008,1713
Latvia,LV00,Latvija,2008,3687
Malta,MT00,Malta,2008,3110
Netherlands,NL13,Drenthe,2008,152
Netherlands,NL32,Noord-Holland,2008,47404
Netherlands,NL33,Zuid-Holland,2008,995
Netherlands,NL41,Noord-Brabant,2008,1675
Netherlands,NL42,Limburg (NL),2008,235
,NO01,,2008,18530
,NO02,,2008,4
,NO03,,2008,1803
,NO04,,2008,4830
,NO05,,2008,5918
,NO06,,2008,3618
,NO07,,2008,4602
Poland,PL21,Małopolskie,2008,2924
Poland,PL22,Śląskie,2008,2387
Poland,PL41,Wielkopolskie,2008,1256
Poland,PL42,Zachodniopomorskie,2008,-
Poland,PL51,Dolnośląskie,2008,1478
Poland,PL61,Kujawsko-pomorskie,2008,-
Poland,PL63,Pomorskie,2008,1951
Poland,PL71,Łódzkie,2008,-
Poland,PL82,Podkarpackie,2008,-
Poland,PL91,Warszawski stołeczny,2008,9480
Portugal,PT11,Norte,2008,4535
Portugal,PT15,Algarve,2008,5447
Portugal,PT16,Centro (PT),2008,-
Portugal,PT17,Área Metropolitana de Lisboa,2008,13604
Portugal,PT18,Alentejo,2008,-
Portugal,PT20,Região Autónoma dos Açores,2008,1424
Portugal,PT30,Região Autónoma da Madeira,2008,2512
Romania,RO11,Nord-Vest,2008,693
Romania,RO12,Centru,2008,-
Romania,RO21,Nord-Est,2008,-
Romania,RO22,Sud-Est,2008,-
Romania,RO32,București-Ilfov,2008,6787
Romania,RO41,Sud-Vest Oltenia,2008,-
Romania,RO42,Vest,2008,903
Sweden,SE11,Stockholm,2008,19985
Sweden,SE12,Östra Mellansverige,2008,2666
Sweden,SE21,Småland med öarna,2008,682
Sweden,SE22,Sydsverige,2008,2346
Sweden,SE23,Västsverige,2008,5146
Sweden,SE31,Norra Mellansverige,2008,119
Sweden,SE32,Mellersta Norrland,2008,687
Sweden,SE33,Övre Norrland,2008,2251
Slovenia,SI04,Zahodna Slovenija,2008,1649
Slovakia,SK01,Bratislavský kraj,2008,2206
Slovakia,SK04,Východné Slovensko,2008,583
United Kingdom,UKC1,Tees Valley and Durham,2008,642
United Kingdom,UKC2,Northumberland and Tyne and Wear,2008,5016
United Kingdom,UKD3,Greater Manchester,2008,21062
United Kingdom,UKD4,Lancashire,2008,439
United Kingdom,UKD7,Merseyside,2008,5330
United Kingdom,UKE1,East Yorkshire and Northern Lincolnshire,2008,424
United Kingdom,UKE3,South Yorkshire,2008,968
United Kingdom,UKE4,West Yorkshire,2008,2860
United Kingdom,UKF2,"Leicestershire, Rutland and Northamptonshire",2008,5616
United Kingdom,UKG1,"Herefordshire, Worcestershire and Warwickshire",2008,331
United Kingdom,UKG3,West Midlands,2008,9576
United Kingdom,UKH1,East Anglia,2008,585
United Kingdom,UKH2,Bedfordshire and Hertfordshire,2008,10174
United Kingdom,UKH3,Essex,2008,22383
United Kingdom,UKI4,Inner London — East,2008,3260
United Kingdom,UKI6,Outer London — South,2008,-
United Kingdom,UKI7,Outer London — West and North West,2008,66907
United Kingdom,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",2008,-
United Kingdom,UKJ2,"Surrey, East and West Sussex",2008,34162
United Kingdom,UKJ3,Hampshire and Isle of Wight,2008,1946
United Kingdom,UKJ4,Kent,2008,13
United Kingdom,UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",2008,6248
United Kingdom,UKK2,Dorset and Somerset,2008,1079
United Kingdom,UKK3,Cornwall and Isles of Scilly,2008,427
United Kingdom,UKK4,Devon,2008,950
United Kingdom,UKL2,East Wales,2008,1979
United Kingdom,UKM5,North Eastern Scotland,2008,3290
United Kingdom,UKM6,Highlands and Islands,2008,1377
United Kingdom,UKM7,Eastern Scotland,2008,9052
United Kingdom,UKM8,West Central Scotland,2008,8135
United Kingdom,UKM9,Southern Scotland,2008,2414
United Kingdom,UKN0,Northern Ireland,2008,8233
United Kingdom,UKZZ,Extra-Regio NUTS 2,2008,4
Austria,AT12,Niederösterreich,2009,18045
Austria,AT21,Kärnten,2009,409
Austria,AT22,Steiermark,2009,926
Austria,AT31,Oberösterreich,2009,641
Austria,AT32,Salzburg,2009,1534
Austria,AT33,Tirol,2009,943
Belgium,BE21,Prov. (2) Antwerpen,2009,125
Belgium,BE24,Prov. Vlaams-Brabant,2009,16785
Belgium,BE25,Prov. West-Vlaanderen,2009,151
Belgium,BE32,Prov. Hainaut,2009,3919
Belgium,BE33,Prov. Liège,2009,351
Bulgaria,BG33,Североизточен,2009,1212
Bulgaria,BG34,Югоизточен,2009,1684
Bulgaria,BG41,Югозападен,2009,3116
,CH01,,2009,11176
,CH02,,2009,95
,CH04,,2009,21911
,CH05,,2009,73
,CH07,,2009,157
Cyprus,CY00,Κύπρος,2009,6730
Czechia,CZ01,Praha,2009,11602
Czechia,CZ04,Severozápad,2009,62
Czechia,CZ05,Severovýchod,2009,43
Czechia,CZ06,Jihovýchod,2009,391
Czechia,CZ08,Moravskoslezsko,2009,270
Germany,DE11,Stuttgart,2009,8875
Germany,DE12,Karlsruhe,2009,1130
Germany,DE13,Freiburg,2009,0
Germany,DE14,Tübingen,2009,544
Germany,DE21,Oberbayern,2009,32560
Germany,DE22,Niederbayern,2009,0
Germany,DE24,Oberfranken,2009,17
Germany,DE25,Mittelfranken,2009,3928
Germany,DE27,Schwaben,2009,806
Germany,DE30,Berlin,2009,14133
Germany,DE40,Brandenburg,2009,6767
Germany,DE50,Bremen,2009,2435
Germany,DE60,Hamburg,2009,12178
Germany,DE71,Darmstadt,2009,50573
Germany,DE73,Kassel,2009,0
Germany,DE80,Mecklenburg-Vorpommern,2009,147
Germany,DE91,Braunschweig,2009,1
Germany,DE92,Hannover,2009,4905
Germany,DE94,Weser-Ems,2009,0
Germany,DEA1,Düsseldorf,2009,20115
Germany,DEA2,Köln,2009,9696
Germany,DEA3,Münster,2009,1344
Germany,DEA4,Detmold,2009,937
Germany,DEA5,Arnsberg,2009,1691
Germany,DEB1,Koblenz,2009,3738
Germany,DEB2,Trier,2009,0
Germany,DEB3,Rheinhessen-Pfalz,2009,314
Germany,DEC0,Saarland,2009,396
Germany,DED2,Dresden,2009,1680
Germany,DED5,Leipzig,2009,1834
Germany,DEE0,Sachsen-Anhalt,2009,0
Germany,DEF0,Schleswig-Holstein,2009,831
Germany,DEG0,Thüringen,2009,256
