date,dead,injured,lon,lat
2018-07-10,0,1,17.922751,59.386183
2018-07-11,0,0,12.716946,56.020386
2018-07-11,0,0,14.695056,57.651028
2018-07-11,0,0,11.896473,57.727446
2018-07-12,0,1,15.652692,56.763945
2018-07-16,1,0,13.045434,55.583862
2018-07-17,0,1,17.930116,59.410279
2018-07-19,0,1,13.055035,55.582218
2018-07-19,0,1,16.225346,58.556318
2018-07-21,0,1,12.712625,56.03918
2018-07-22,0,1,12.834243,55.87421
2018-07-23,0,0,22.200354,68.364465
2018-07-24,0,0,13.007656,55.577862
2018-07-24,0,0,12.732397,56.030558
2018-07-24,0,0,11.898865,57.679868
2018-07-25,0,0,13.019024,55.572653
2018-07-26,0,0,17.917631,59.388094
2018-07-28,1,0,15.216359,61.005327
2018-07-28,0,0,13.235826,63.473878
2018-07-31,0,0,17.938514,59.222285
2018-08-05,0,0,12.139078,57.654973
2018-08-06,0,0,17.932506,59.295207
2018-08-06,0,0,18.46533,60.36422
2018-08-07,0,0,17.648967,59.511527
2018-08-07,0,1,16.231795,59.712168
2018-08-08,0,1,12.975491,55.586322
2018-08-09,0,1,13.053435,55.614547
2018-08-09,0,0,18.014504,59.30861
2018-08-11,0,1,17.659988,59.875173
2018-08-12,0,0,17.654636,59.875281
2018-08-14,0,0,12.974137,55.581806
2018-08-14,0,0,12.139078,57.654973
2018-08-15,0,0,13.187002,55.369444
2018-08-16,0,1,12.712901,56.061654
2018-08-16,0,1,17.653424,59.882493
2018-08-18,0,0,13.190033,55.372185
2018-08-18,0,0,12.9999,55.605597
2018-08-18,0,1,12.289652,57.681657
2018-08-20,0,1,16.240581,59.613297
2018-08-20,0,1,17.636463,59.803773
2018-08-20,0,0,17.636463,59.803773
2018-08-20,0,0,17.636463,59.803773
2018-08-21,0,0,12.502783,56.897019
2018-08-21,0,1,17.117988,60.677217
2018-08-24,0,0,17.846827,59.236906
2018-08-24,1,0,16.528433,59.3947
2018-08-26,0,1,11.892658,57.732745
2018-08-29,0,0,17.832264,59.420527
2018-08-30,0,1,17.922828,59.38708
2018-09-01,0,1,17.010832,58.765625
2018-09-02,0,0,14.977243,56.52488
2018-09-02,0,1,16.214746,58.993837
2018-09-04,1,0,13.019386,55.565469
2018-09-04,0,1,12.703056,56.038103
2018-09-05,0,0,12.70637,56.036368
2018-09-05,0,0,11.886567,57.725405
2018-09-07,0,0,14.983926,59.872392
2018-09-08,0,1,11.892658,57.732745
2018-09-08,0,0,17.931928,59.39047
2018-09-09,0,0,14.15212,56.058369
2018-09-11,0,1,14.136549,57.744566
2018-09-11,0,1,17.949089,59.222944
2018-09-11,0,0,19.179459,65.592582
2018-09-12,0,0,13.150438,55.375187
2018-09-14,0,0,14.141747,56.308082
2018-09-14,0,1,17.979848,59.233925
2018-09-16,0,1,12.551976,57.672628
